:START_ID(Job-ID),:END_ID(Job-ID),:TYPE,reason,confidence
job_4c14765528b76b65,job_080f1fb899cc3d8d,PROMOTE_TO,,
job_4c14765528b76b65,job_d9235fdfc33c6a93,PROMOTE_TO,,
job_4c14765528b76b65,job_2c09bf5e7ce723ae,PROMOTE_TO,,
job_4c14765528b76b65,job_b7222e05e9ef30ce,PROMOTE_TO,,
job_93f725a07423fe1c,job_d7b9201eb870b418,PROMOTE_TO,,
job_93f725a07423fe1c,job_e74804e480fc152f,PROMOTE_TO,,
job_93f725a07423fe1c,job_f03d2a8de59311e1,PROMOTE_TO,,
job_93f725a07423fe1c,job_989c0d58634b72f7,PROMOTE_TO,,
job_93f725a07423fe1c,job_27090ee3db408ae2,PROMOTE_TO,,
job_93f725a07423fe1c,job_d9235fdfc33c6a93,PROMOTE_TO,,
job_93f725a07423fe1c,job_4647705c65a53b77,PROMOTE_TO,,
job_93f725a07423fe1c,job_2b928541469c81e4,PROMOTE_TO,,
job_99a272194eb867ea,job_4294f589a8ab6cec,PROMOTE_TO,,
job_99a272194eb867ea,job_b19df5b4321b61bf,PROMOTE_TO,,
job_99a272194eb867ea,job_350d79b43aa14caf,PROMOTE_TO,,
job_99a272194eb867ea,job_9e50c957879c2fdc,PROMOTE_TO,,
job_99a272194eb867ea,job_a4dd5a63b4efaff5,PROMOTE_TO,,
job_99a272194eb867ea,job_e8d1fc0f425cb811,PROMOTE_TO,,
job_4142cecaac11f927,job_74df97c7fbdcfed4,PROMOTE_TO,,
job_4142cecaac11f927,job_441b566db7c2ab45,PROMOTE_TO,,
job_4142cecaac11f927,job_02e49e50df6b4b61,PROMOTE_TO,,
job_4142cecaac11f927,job_07d731765c14e10d,PROMOTE_TO,,
job_4142cecaac11f927,job_27090ee3db408ae2,PROMOTE_TO,,
job_4142cecaac11f927,job_e74804e480fc152f,PROMOTE_TO,,
job_4142cecaac11f927,job_d9235fdfc33c6a93,PROMOTE_TO,,
job_4142cecaac11f927,job_b81c0f254566bff5,PROMOTE_TO,,
job_f76ae5ed9254dcc0,job_fdd95e8918d2c060,PROMOTE_TO,,
job_f76ae5ed9254dcc0,job_cb6d7c1dba254388,PROMOTE_TO,,
job_f76ae5ed9254dcc0,job_41ff894e6f485724,PROMOTE_TO,,
job_f76ae5ed9254dcc0,job_e90a0ffcffb293f0,PROMOTE_TO,,
job_f76ae5ed9254dcc0,job_f76bef24b03ccb0d,PROMOTE_TO,,
job_f76ae5ed9254dcc0,job_5c76a64ceef9b982,PROMOTE_TO,,
job_3c4f968cb95317e0,job_4294f589a8ab6cec,PROMOTE_TO,,
job_3c4f968cb95317e0,job_ffd99ff33e95b65b,PROMOTE_TO,,
job_3c4f968cb95317e0,job_99b57f0616ffd908,PROMOTE_TO,,
job_3c4f968cb95317e0,job_a4dd5a63b4efaff5,PROMOTE_TO,,
job_3c4f968cb95317e0,job_e8d1fc0f425cb811,PROMOTE_TO,,
job_cf31214be2321080,job_8bd26af85714193a,PROMOTE_TO,,
job_cf31214be2321080,job_69c95a649381b2a6,PROMOTE_TO,,
job_cf31214be2321080,job_d7b9201eb870b418,PROMOTE_TO,,
job_cf31214be2321080,job_948b661e1e616276,PROMOTE_TO,,
job_cf31214be2321080,job_d9d4ba9629a0ff35,PROMOTE_TO,,
job_cf31214be2321080,job_27090ee3db408ae2,PROMOTE_TO,,
job_cf31214be2321080,job_69ad6aa14e108910,PROMOTE_TO,,
job_cf31214be2321080,job_4647705c65a53b77,PROMOTE_TO,,
job_cf31214be2321080,job_5c76a64ceef9b982,PROMOTE_TO,,
job_c022617a8d3fb9ea,job_d59fdda1090296e6,PROMOTE_TO,,
