title_id,raw_job_name,normalized_job_name,standard_job_name,is_same_standard_job,confidence,merge_reason,occurrence_count,job_family,cluster_size
45336746977db74907a4dfb0,APP推广,app推广,app推广,False,0.8,self_standardized,9,其他,1
3d00884f682b65a7babdb269,BD经理,bd经理,bd经理,False,0.8,self_standardized,42,其他,1
915d356c4d213cec76d72f1c,C/C++,cc++,cc++,False,0.8,self_standardized,238,其他,1
d52387880e1ea22817a72d37,Java,java,java,False,0.8,self_standardized,265,Java开发,1
9f5947c7a07d782422ab3d0c,产品专员/助理,产品专员助理,产品专员助理,False,0.8,self_standardized,11,产品,1
aca446cd16fece9b46a6b95b,储备经理人,储备经理人,储备经理人,False,0.8,self_standardized,3,其他,1
8d8c65e04f25c1f869a1dfd5,内容审核,内容审核,内容审核,False,0.8,self_standardized,22,其他,1
0ffed74bc27ec71c5063acb6,前端开发,前端开发工程师,前端开发工程师,False,0.8,self_standardized,230,前端开发,1
7f69d84724c9c61473db41c9,咨询顾问,咨询顾问,咨询顾问,False,0.8,self_standardized,11,其他,1
8fd2e93c20a6cb9c8c7e2e88,售后客服,售后客服,售后客服,False,0.8,self_standardized,10,其他,1
2899702b726f1bbc17f3ec29,商务专员,商务专员,商务专员,False,0.8,self_standardized,26,其他,1
e7bf21c3293048cbdb41885a,培训师,培训师,培训师,False,0.8,self_standardized,7,其他,1
05360c01c2884c0f3bb34d0c,大客户代表,大客户代表,大客户代表,False,0.8,self_standardized,35,其他,1
e8cf9de217124223586a71cf,实施工程师,实施工程师师,实施工程师师,False,0.8,self_standardized,234,实施交付,1
e0b7fbae4b6d484edf8ef700,广告销售,广告销售,广告销售,False,0.8,self_standardized,10,销售,1
cfce5a26d8af93216bfe173f,律师,律师,律师,False,0.8,self_standardized,3,其他,1
026f1ca8b5d14b87f6ac6265,律师助理,律师助理,律师助理,False,0.8,self_standardized,2,其他,1
9a97a1541763570eade73946,总助/CEO助理/董事长助理,总助ceo助理董事长助理,总助ceo助理董事长助理,False,0.8,self_standardized,8,其他,1
eae351a44fc68f1833fa7fad,技术支持工程师,技术支持工程师师,技术支持工程师师,False,0.8,self_standardized,245,技术支持,1
