record_id,standard_job_name,job_title,company_name,city,industry,is_cs_related,portrait_degree_requirement,portrait_major_requirement,portrait_certificate_requirement_json,sample_degree_requirement,sample_degree_rank,sample_major_requirements_json,sample_certificate_requirements_json,sample_certificate_force_flags_json,degree_extraction_method,major_extraction_method,certificate_extraction_method,extraction_confidence,degree_evidence_text,major_evidence_text,certificate_evidence_text
ffefcb36ba702392d773120b,前端开发工程师,前端开发,东莞市恒亚罗斯计算机科技有限公司,东莞,"计算机软件,互联网,IT服务",True,,,[],未明确,-1,[],[],{},not_found,not_found,not_found,0.3667,,,
2107493559a2bc854c69afc8,实施工程师,实施工程师,广东南方数码科技股份有限公司,广州,"计算机软件,计算机软件",True,本科及以上,地理信息、测绘工程、计算机等相关专业,[],本科,3,"[""计算机科学与技术"", ""地理信息科学""]",[],{},regex_job_desc,rule_job_desc,not_found,0.8667,1、本科及以上学历，地理信息、测绘工程、计算机等相关专业,"工作内容：
1、在客户现场进行软件系统的安装部署、测试、维护和更新；
2、对产品进行演示，开展客户培训；
3、进行数据建库、入库，在客户现场，完成数据核查、数据处理工作；
4、根据项目经理安排，完成相关相关的辅助工作（包括但不限于文档编写、交流记录等）
岗位要求：
1、本科及以上学历，地理信息、测绘工程、计算机等相关专业；
2、熟悉arcgis、cass等软件的优先，熟悉数据库oracle、mysql之类的优先；
3、具备较强的沟通能力",
2696f5b62c0c5c21f610134a,Java开发工程师,Java,济南北海软件工程有限公司,济南,"计算机软件,IT服务,计算机软件,互联网",True,专科或以上,,"[""日语N3或以上""]",大专,2,[],"[""日语N3""]","{""日语N3"": ""mentioned""}",regex_job_desc,not_found,rule_job_desc,0.7500,"岗位职责：
独立完成分配的开发及测试作业，担当测试式样书的做成等工作
任职要求：
1、专科或以上学历，三年以上开发经验，日语N3或以上，有简单日语交流能力；
2、熟练掌握JAVA/VB.NET/C#/COBOL/IOS/Android /C等任意一种或多种开发语言和开发技能；
3、熟练使用常用的关系型数据库（如mysql），对数据库优化有一定的经验；
4、 具有良好的沟通和协调能力
5 、具有良好的心理素质，能够承受一定工作压力
6、工",,1、专科或以上学历，三年以上开发经验，日语N3或以上，有简单日语交流能力
362789679f9cd9582589b5e0,软件测试工程师,软件测试,源创客成都科技有限公司,成都,计算机软件,True,本科及以上,计算机科学、软件工程、电子信息工程等相关专业,"[""ISTQB认证"", ""软件评测师""]",本科,3,"[""计算机科学与技术"", ""软件工程"", ""电子信息工程""]","[""ISTQB"", ""软件评测师""]","{""ISTQB"": ""unknown"", ""软件评测师"": ""unknown""}",fallback_portrait,fallback_portrait,fallback_portrait,0.6500,,,
b122ebacf3019bb6542258da,Java开发工程师,Java,外企德科数字技术有限公司,北京,专业技术服务,True,专科或以上,,"[""日语N3或以上""]",大专,2,[],"[""日语N3""]","{""日语N3"": ""unknown""}",fallback_portrait,not_found,fallback_portrait,0.5167,,,
fa5748e1d46f42594c362f2c,软件测试工程师,软件测试,天阳科技,上海,"计算机软件,计算机软件",True,本科及以上,计算机科学、软件工程、电子信息工程等相关专业,"[""ISTQB认证"", ""软件评测师""]",本科,3,"[""计算机科学与技术"", ""软件工程"", ""电子信息工程""]","[""ISTQB"", ""软件评测师""]","{""ISTQB"": ""unknown"", ""软件评测师"": ""unknown""}",fallback_portrait,fallback_portrait,fallback_portrait,0.6500,,,
a5c8e53d0eadfafdf5e82107,软件测试工程师,软件测试,青岛瑞晟元人力资源有限公司,昆明,人力资源服务,True,本科及以上,计算机科学、软件工程、电子信息工程等相关专业,"[""ISTQB认证"", ""软件评测师""]",本科,3,"[""计算机科学与技术"", ""软件工程"", ""电子信息工程""]","[""ISTQB"", ""软件评测师""]","{""ISTQB"": ""unknown"", ""软件评测师"": ""unknown""}",fallback_portrait,fallback_portrait,fallback_portrait,0.6500,,,
76135c211fb49160bfadb9b6,C/C++嵌入式软件开发工程师,C/C++,联合汽车电子有限公司（UAES）,重庆,"金属制品业,汽车研发/制造,电子/半导体/集成电路",True,硕士及以上,计算机科学与技术，软件工程，通信工程，电子信息，机械电子专业,[],硕士,4,"[""计算机科学与技术"", ""软件工程"", ""电子信息工程"", ""网络空间安全""]",[],{},regex_job_desc,rule_job_desc,not_found,0.8667,硕士及以上学历技能要求：1,计算机科学与技术，软件工程，通信工程，电子信息，机械电子专业，或有嵌入式软件开发经验的相关专业,
0defa8eed94c393f6e2087bf,Java开发工程师,Java,米斯特奥福(大连)咨询服务有限公司,大连,"人力资源服务,人力资源服务",True,专科或以上,,"[""日语N3或以上""]",本科,3,"[""计算机科学与技术"", ""软件工程""]","[""日语N2""]","{""日语N2"": ""mentioned""}",regex_job_desc,rule_job_desc,rule_job_desc,1.0000,"统招本科及以上学历, 计算机相关专业","【工作职责】
客户：海内外产业/制造业/零售业日系公司为主
与客户保持紧密沟通，了解客户需求。
提供系统开发/系统运维保守相关服务。
（根据面试结果和人选意愿开发/运维占比会有所不同）
【必须条件】
统招本科及以上学历, 计算机相关专业;
外语能力：
日语N2或相当, 口语流利;
业务经验：
熟悉软件开发项目流程, 及运维保守工作流程;
技术能力：
3年以上主流语言开发经验;","日语N2或相当, 口语流利"
1451c9705b9b835f81ab3360,硬件测试工程师,硬件测试,山东中天宇信信息技术有限公司,威海,计算机软件,True,大专及以上,通讯自动化及相关理工类专业,[],大专,2,"[""电子信息工程"", ""物联网工程""]",[],{},regex_job_desc,rule_job_desc,not_found,0.8667,1、大专及以上，通讯自动化及相关理工类专业优先,"【任职要求】
1、大专及以上，通讯自动化及相关理工类专业优先。
2、要求学习能力强、有一定动手能力。
3、有岗位工作经验或物联网行业经验优先。
【岗位职责】
1、负责产品的硬件功能和性能测试
2、负责产品的硬件的售后维护和支持
【薪酬福利】
1.绩效奖金、带薪年假、工龄奖、弹性工作。
2.公司缴纳五险，提供工作餐。
3.完善的培训和晋升机制，优秀员工每年多次调薪、多次晋升机会。
【职位亮点】
物联网朝阳行业+优厚待遇+职位发展空间+舒适",
